NDate,NTime,MeaValue,Weight,RecNo
2020/9/30 ,0:1:14  ,43.9  ,A,0     
2020/9/30 ,0:1:16  ,43.9  ,A,1     
2020/9/30 ,0:1:18  ,43.8  ,A,2     
2020/9/30 ,0:1:20  ,44.1  ,A,3     
2020/9/30 ,0:1:22  ,44.1  ,A,4     
2020/9/30 ,0:1:24  ,43.9  ,A,5     
2020/9/30 ,0:1:26  ,43.8  ,A,6     
2020/9/30 ,0:1:28  ,43.8  ,A,7     
2020/9/30 ,0:1:30  ,44.0  ,A,8     
2020/9/30 ,0:1:32  ,43.9  ,A,9     
2020/9/30 ,0:1:34  ,43.9  ,A,10    
2020/9/30 ,0:1:36  ,43.9  ,A,11    
2020/9/30 ,0:1:38  ,43.9  ,A,12    
2020/9/30 ,0:1:40  ,43.9  ,A,13    
2020/9/30 ,0:1:42  ,43.9  ,A,14    
2020/9/30 ,0:1:44  ,43.9  ,A,15    
2020/9/30 ,0:1:46  ,43.8  ,A,16    
2020/9/30 ,0:1:48  ,43.8  ,A,17    
2020/9/30 ,0:1:50  ,43.8  ,A,18    
2020/9/30 ,0:1:52  ,43.8  ,A,19    
2020/9/30 ,0:1:54  ,43.9  ,A,20    
2020/9/30 ,0:1:56  ,43.9  ,A,21    
2020/9/30 ,0:1:58  ,43.9  ,A,22    
2020/9/30 ,0:2:0   ,43.8  ,A,23    
2020/9/30 ,0:2:2   ,44.0  ,A,24    
2020/9/30 ,0:2:4   ,43.9  ,A,25    
2020/9/30 ,0:2:6   ,43.9  ,A,26    
2020/9/30 ,0:2:8   ,43.9  ,A,27    
2020/9/30 ,0:2:10  ,43.9  ,A,28    
2020/9/30 ,0:2:12  ,43.8  ,A,29    
2020/9/30 ,0:2:14  ,43.9  ,A,30    
2020/9/30 ,0:2:16  ,44.0  ,A,31    
2020/9/30 ,0:2:18  ,43.9  ,A,32    
2020/9/30 ,0:2:20  ,43.9  ,A,33    
2020/9/30 ,0:2:22  ,43.9  ,A,34    
2020/9/30 ,0:2:24  ,43.9  ,A,35    
2020/9/30 ,0:2:26  ,43.9  ,A,36    
2020/9/30 ,0:2:28  ,43.9  ,A,37    
2020/9/30 ,0:2:30  ,43.8  ,A,38    
2020/9/30 ,0:2:32  ,46.4  ,A,39    
2020/9/30 ,0:2:34  ,47.1  ,A,40    
2020/9/30 ,0:2:36  ,47.1  ,A,41    
2020/9/30 ,0:2:38  ,43.9  ,A,42    
2020/9/30 ,0:2:40  ,43.9  ,A,43    
2020/9/30 ,0:2:42  ,43.9  ,A,44    
2020/9/30 ,0:2:44  ,44.0  ,A,45    
2020/9/30 ,0:2:46  ,43.7  ,A,46    
2020/9/30 ,0:2:48  ,43.8  ,A,47    
2020/9/30 ,0:2:50  ,43.8  ,A,48    
2020/9/30 ,0:2:52  ,43.8  ,A,49    
